"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Euro area","EMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1087.32953125905","1191.97511678075","1313.06966156166","1449.39508220623","1589.07498045203","1725.19417829025","1879.36103884365","2071.54761474548","2270.08781598373","2492.7271570322","2890.34199542805","3709.61086090144","4597.76485831407","5307.64492908952","5631.25609144282","6046.9691746754","6870.39581278689","8521.39730275814","10224.9385929682","10124.3303648498","9171.79541176276","8176.38368756626","7948.32833016733","7957.24880102775","9181.36949445468","11729.6557990309","15242.5069144243","16344.7881828615","17622.5493814007","18862.773681278","21172.4911222836","20851.7340964514","21391.6255307549","22519.9926077607","23787.8236612263","23768.3961495739","22739.5533003108","22329.6250795549","22110.1673031259","21202.0517089132","20675.7289370059","23288.705115579","28284.7197076052","32403.9172050819","34554.5170239342","36717.2815605678","39534.6802354988","39638.4997485968","39768.3170302821","40305.7851145817","39273.1526708464","39470.036124084","39356.7816228189","37730.8448526777","36344.9603975027","35838.4424055259","38774.4862123343","",
"Eritrea","ERI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270","270","300","320","330","310","300","310","300","300","340","390","410","420","410","480","570","720","","","","","","","","",
"Spain","ESP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","500","570","640","730","840","930","1010","1110","1170","1310","1590","2090","2730","3240","3430","3640","4040","5010","6210","6310","5680","4860","4580","4550","5400","7110","9410","10700","12210","13700","15610","15010","14470","14830","15560","15820","15440","15480","15770","15520","15590","18030","22070","25870","27820","29740","32190","32460","31880","30950","29520","29210","29130","28430","27530","27040","29340","",
"Estonia","EST","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4310","4620","5730","7500","9730","11500","13420","15080","14560","14560","15850","16800","18170","18880","18560","18260","18690","21140","",
"Ethiopia","ETH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","210","200","190","230","280","270","260","260","250","220","210","160","150","150","140","130","120","130","130","120","110","140","160","180","220","280","340","380","390","410","470","550","600","670","740","790","",
"European Union","EUU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","1981.97337319869","2180.87185396845","2525.52349837721","3209.62231694491","3908.90906099318","4495.90205688486","4747.82870515554","5071.5759300517","5752.71042515787","7142.04007388926","8601.87693957262","8663.55876011233","7966.70549032163","7135.15829094944","6891.12411887597","6883.77752681756","7907.50190149871","10043.8726095776","12972.8959623596","13912.3208709323","14965.9788375058","15949.4718888452","17860.8629691425","17581.4810815145","18050.8932676587","18811.0862650946","19970.5926074221","20292.7340110841","19797.9273824258","19704.654327386","19752.3894271235","19129.5294378864","18874.0191646565","21238.0011425352","25665.7245779149","29457.7219089639","31506.1031549773","33620.0196415514","36135.9926446318","35715.0093061127","35570.7200661908","35932.5106990175","35413.1875248626","35819.6841767642","36001.0754569087","34794.9690436359","33569.363349513","33037.296029697","35419.8157303311","",
"Fragile and conflict affected situations","FCS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563.203527747581","570.98281297262","644.542292862186","749.327708675155","839.656698067509","977.935146549147","1186.08839692701","1300.024733657","1417.24236454201","1368.06008499302","1667.29681342428","1740.95215065496","1769.25340931992","1664.25498968035","1607.57060229363","1566.79816491949","1576.18211856424","",
"Finland","FIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1370","1470","1620","1810","1970","2060","2090","2270","2470","2690","3170","4030","5130","6320","6840","7190","7910","9540","11450","11980","11690","10830","10790","11130","13010","16470","21530","24100","26000","25090","24170","20680","20170","22030","24970","26680","25820","26040","26450","25810","25550","28720","35270","40170","42800","46160","50070","48800","49600","50150","48940","49480","49390","47160","45480","44680","48280","",
"Fiji","FJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","290","300","290","300","340","350","350","400","440","530","720","930","1120","1220","1300","1360","1660","1870","2040","1800","1580","1660","1580","1790","1770","1790","1790","1790","1790","1990","2090","2230","2460","2660","2580","2300","2360","2240","2140","2170","2420","3040","3590","3620","3820","4010","3860","3650","3780","4140","4710","5020","5200","5360","5480","5860","",
"France","FRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1700","1870","2030","2200","2360","2560","2820","3020","3250","3670","4690","5790","6720","7140","7810","8830","10820","13080","13190","12040","10450","9820","9770","11330","14460","18520","19490","20640","21420","23840","23580","24380","25740","27110","26930","25830","25420","24970","23840","23090","25930","31360","35870","37850","40130","43460","43930","43850","44350","43380","43780","43320","41080","38990","38330","41080","",
"Faroe Islands","FRO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2120","2130","2200","2140","1930","1950","2050","2210","2260","2270","2380","2440","2560","2560","2570","2590","2820","2900","3070","3150","3180","3150","3490","3410","3450","3400","",
"Gabon","GAB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","410","340","360","420","440","460","530","570","610","690","910","1700","2870","4450","4010","3090","3520","4590","5290","4840","4260","4310","3860","3840","3430","4150","4580","4820","5170","5120","4430","4130","3910","4100","4270","3940","3280","3090","3420","3600","3870","4300","5510","5740","6580","7310","7570","7830","8100","9080","9330","9320","7970","7080","6500","6830","",
"United Kingdom","GBR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","2470","2760","3200","3900","4360","4870","5010","5220","5930","7560","9530","10640","10640","9840","9250","9140","10230","12670","16130","17350","18530","19350","21440","21320","21860","21230","22880","25290","26840","28150","29220","29020","29260","32300","37860","42890","45230","47650","48580","44220","41650","41070","41700","42740","44320","44280","42990","41370","41770","",
"Georgia","GEO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","540","510","550","670","820","870","840","810","780","850","990","1210","1520","1910","2380","2800","2930","3170","3520","4160","4530","4760","4400","4080","4030","4440","",
"Ghana","GHA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","200","210","230","250","240","220","220","250","270","260","280","320","300","290","300","350","380","420","410","360","320","340","350","390","420","440","400","400","410","430","420","370","370","380","390","390","390","340","300","270","320","380","460","590","790","1140","1190","1230","1380","1540","1870","1920","1960","1830","1900","2130","",
"Gibraltar","GIB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","390","410","420","460","490","500","500","510","510","470","450","400","360","350","340","370","360","400","470","620","670","690","680","700","700","740","760","780","820","850","",
"Gambia, The","GMB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","110","110","110","110","120","150","180","230","230","240","260","310","380","390","340","300","290","300","300","320","300","300","310","400","520","710","690","690","700","690","660","640","620","560","440","390","470","520","640","700","810","880","890","760","760","730","650","620","620","660","710","",
"Guinea-Bissau","GNB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","120","130","150","170","150","140","160","180","150","190","200","190","190","200","160","170","180","210","220","240","240","230","220","220","240","240","160","160","210","250","300","330","380","430","440","470","510","560","580","640","630","640","640","640","650","680","750","",
"Equatorial Guinea","GNQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","130","130","130","150","170","210","250","230","260","270","380","370","270","250","360","870","700","820","770","900","1270","1190","1720","3890","8110","11600","14250","12530","9970","11530","13860","14020","13220","10840","8260","7080","6840","",
"Greece","GRC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","620","700","790","900","1000","1090","1200","1370","1540","1720","2000","2490","2850","3480","3750","3940","4600","5650","6500","6370","5910","5280","5140","5010","5360","6130","7590","8310","8970","9850","11200","11140","11610","12410","13430","14100","13810","13380","13330","13070","13150","15700","19580","22760","24550","26350","28660","29330","27660","24930","23500","22540","22180","20320","18890","18340","19770","",
"Grenada","GRD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1150","1300","1310","1300","1280","1340","1500","1790","2200","2490","2670","2840","3040","3140","3120","3210","3310","3500","3660","3990","4310","4610","4510","4650","5290","5350","6650","6430","6830","7260","6720","6940","7060","7030","7350","7520","7780","8350","8900","9650","",
"Greenland","GRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1890","2440","3130","3800","4330","5140","6160","7550","9270","9100","8020","7270","6740","7060","8540","11470","15170","16970","15690","16510","17440","16600","17830","19470","20780","20540","20440","19740","20290","19390","18760","20440","25730","30920","30240","34800","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","250","270","280","280","290","290","310","320","340","350","380","430","510","580","650","750","870","1020","1140","1180","1110","1060","1080","1110","1030","980","950","950","910","950","1010","1120","1210","1340","1430","1520","1600","1640","1670","1600","1610","1690","1860","2010","2160","2370","2590","2620","2710","2860","3100","3320","3460","3620","3800","4060","4400","",
"Guam","GUM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","250","280","310","320","340","330","350","360","380","390","430","540","680","660","610","620","670","760","740","590","510","470","500","520","460","470","360","400","330","390","460","570","670","830","890","880","860","890","880","890","940","1030","1090","1420","1860","2450","2720","2900","3220","3610","3880","4110","4130","4210","4340","4770","",
"High income","HIC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1542.115574567","1634.87995077019","1757.49675372355","1904.51748024891","2074.73812985647","2205.70947991772","2417.17975096568","2627.46308747334","2784.90923113713","3044.41509176671","3492.87741907022","4276.00106039324","5002.45108416926","5592.54681210375","5939.6820216723","6366.5743678034","7257.87981691787","8690.49316416953","10036.1678360159","10441.962149573","9935.51758621001","9537.95701161287","9897.95335701951","10352.3312096395","11648.7764155931","13948.7883304085","16969.8655675274","17883.1121216486","18703.53976814","19447.5997411509","21129.8260984695","21602.7991042844","22673.9273680875","24140.5307025199","25275.721016481","25403.5046067777","24462.42482292","24752.3567500792","25770.6074111666","25750.7731480173","25578.2648537576","27561.3906719363","31442.6889733276","34629.3871997742","36339.1061268937","37750.2770102445","39316.6016839005","38631.2309741602","39679.190183463","41033.4392030296","42400.0922998429","43204.6070037245","43373.8958771837","42142.9992477025","41219.1977029284","41433.2061800043","44275.2246624645","",
"Hong Kong SAR, China","HKG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","570","630","700","710","710","740","840","930","1060","1300","1750","2150","2450","2900","3340","3930","4700","5730","6360","6290","5890","6170","6090","7230","9080","10770","11550","12660","14320","16560","19560","21820","23570","24140","26080","25110","25800","26930","26350","25270","26340","28120","28890","30290","32070","33950","32350","33620","35690","36340","38570","40240","41180","42970","46420","50300","",
"Honduras","HND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","180","180","190","210","220","230","250","250","260","270","280","320","360","380","410","460","610","830","1090","1090","1020","1000","1080","1160","1260","1410","1410","1270","1110","940","930","950","880","900","870","910","910","930","1020","1040","1060","1120","1200","1280","1350","1480","1600","1630","1730","1870","1970","2000","2000","2060","2120","2220","2350","",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","248.687029935268","262.654406633842","290.619836325054","333.403681421684","368.922016546607","388.437200796784","363.013489640418","321.410318256492","307.904804118523","308.927476624482","346.328070896512","405.121600941872","428.551772036326","407.909610509423","377.680526310668","360.124604844701","346.8619943278","333.016432003996","302.359488410202","307.925129918042","315.40235302115","324.433323327026","320.397330398966","321.412987580891","319.977101187451","313.016724724473","314.644192156817","335.621160095335","386.003473530415","435.672677893888","481.541952102718","543.404449241618","640.870751960673","694.034434439942","731.881087076113","765.918997292079","817.161332973175","843.063452383801","914.464513541086","916.279679476148","903.31305382392","917.337134987115","925.845309739161","",
"Croatia","HRV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5220","5320","5610","6670","8520","10170","11320","12710","14310","14130","14080","14010","13400","13520","13270","12970","12390","12640","14000","",
"Haiti","HTI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","250","250","250","240","260","280","320","350","380","370","420","450","390","310","260","310","360","390","400","450","470","450","410","380","380","410","480","550","620","680","660","710","760","810","830","820","780","760","800","",
"Hungary","HUN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3660","4030","4250","4370","4400","4410","4490","4620","4790","5290","6650","8640","10360","11250","11790","13230","13380","13190","13170","12990","13480","13540","13220","13050","13080","14780","",
"IBRD only","IBD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","191.538842085746","191.33884827164","196.390394008505","213.433805091033","230.23882789409","244.243129225494","264.439387703702","320.411085477911","395.981569189365","464.641102848941","484.881366913899","505.702910069729","545.804156174023","629.953137489149","724.181993028385","779.06098588992","766.312603752858","714.794726907334","709.018417025367","727.481036070225","769.099749835049","828.653496753562","874.11601475346","884.56439737695","931.779346801874","1001.49824006788","1055.527242512","1093.89167299899","1140.61296144709","1229.66786068607","1343.98595002232","1430.19478675752","1386.10678456825","1361.03806896077","1413.81028418007","1423.53449616727","1444.00669655531","1571.77037505933","1827.32709957674","2134.49419650393","2482.68823882574","2950.77954315473","3487.24015757817","3751.60985254629","4192.00068119597","4669.13917544437","5294.39386011048","5728.19907472934","5912.50453563415","5757.0049089018","5650.5771289464","5758.34768528569","6192.34729499842","",
"IDA & IBRD total","IBT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","177.052152419097","177.224837050918","182.139715265389","197.953656271974","214.343830253031","227.140959955163","245.43725585062","293.989835671722","364.300819221167","427.699317515067","448.875745686098","467.974340707745","504.269015015033","581.422542995396","668.776652534179","723.502487460869","718.055740247671","676.103240893028","660.167223954825","670.747751330154","702.599963242753","754.611093104352","793.561830601251","795.431334073825","830.621769629462","882.590157341021","924.367007839787","948.2112266636","979.594569182295","1050.47010141473","1143.79138387386","1213.25176878908","1175.64644306844","1154.1705060019","1194.76581762788","1201.73349717191","1218.54590710176","1322.59652946759","1533.86881070841","1784.82619284751","2069.37468378861","2447.02039654453","2884.34327475587","3095.91255687141","3441.4970329726","3811.81393003987","4305.21389877967","4645.71597207787","4797.26165765618","4670.10254957608","4571.31373702935","4637.34091222665","4958.32622482876","",
"IDA total","IDA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","123.997583033893","139.334084390705","146.426672443536","155.629453232081","166.703637748119","212.312938366547","251.493306115294","278.366272048676","290.795989316951","310.920034173714","357.528918882537","415.530443113943","472.637636872772","503.229265358305","507.120214885585","447.712585061953","426.038729241112","418.068118381564","440.569012584821","454.964161668612","424.54766623893","413.174612340742","400.22924674685","396.676016258518","367.932200514377","344.974946445232","352.574230131276","373.294713267024","388.051823822476","384.913154438583","386.537991759309","391.764697318402","399.267896091446","413.812866526087","444.568643579116","513.151605141415","584.074048529596","668.490471036398","761.472054356872","893.974795017717","959.888733535864","1026.91987194559","1085.96824353071","1198.02853650502","1287.39923743725","1383.33991019332","1387.82813455369","1354.42495837976","1338.19447045385","1374.41988090176","",
"IDA blend","IDB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","104.671956998279","111.537347767507","115.727903589257","122.37937231939","127.904360540485","127.342922784561","134.574433583655","152.192162924592","181.04587467191","191.171105599654","201.890155533856","209.654626056016","269.140439321801","307.06801992776","360.377348620386","392.841540448408","423.189411646606","489.251612367335","574.66004120164","691.612805545148","800.703778428724","857.819373628331","720.109489249483","654.823684810261","592.930073954037","587.872676684499","599.692916746402","550.492916789251","541.035096800046","519.144072316101","517.602874787035","461.314446579252","441.23450075391","450.624676415767","486.754605133772","505.229987683236","492.420919608933","493.325036136733","497.640264218362","514.634249173305","546.800543289131","594.90525173964","699.863173057401","809.466536089512","971.730548202724","1125.44377720371","1329.77929099149","1398.45082357606","1476.56873698646","1557.46387628571","1746.1887706557","1911.89377056351","2058.64163320835","2037.04298360886","1911.74651850692","1791.87609118973","1799.01446294024","",
"Indonesia","IDN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","70","80","80","90","110","160","220","270","300","360","400","470","530","560","530","520","500","520","510","510","530","560","610","660","740","850","990","1090","1100","660","570","580","720","790","900","1080","1220","1380","1600","1940","2150","2530","3010","3580","3730","3620","3430","3400","3530","3840","",
"IDA only","IDX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","292.83964838969","296.917875106955","321.776607659064","361.40690791175","377.49055484575","357.626314526274","344.739232624128","336.903622013914","332.190381738472","319.508943286561","294.546256081485","301.282895342058","313.677501753958","326.480531984621","328.659221193362","330.696699740058","336.508095178545","338.876370715126","343.878398159092","365.565170228615","415.038023980737","465.689131967795","509.094552041454","570.060139154223","664.208824214209","729.788382646359","791.213847230005","839.607821952509","910.173564100291","957.754873499267","1026.20148670058","1045.57523108135","1065.14515918405","1109.51226570485","1163.97411210813","",
"Isle of Man","IMN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17050","18800","21310","21880","22480","23730","27810","34210","39590","44420","47210","64640","66890","67430","70480","81160","87860","88990","83980","75570","75340","","",
"India","IND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","110","110","110","110","100","110","120","120","120","140","170","190","180","190","210","220","270","290","290","280","280","290","310","350","390","390","380","350","340","320","340","370","400","410","410","440","440","450","460","520","610","710","790","910","1000","1120","1220","1360","1480","1520","1560","1600","1690","1830","2020","",
"Not classified","INX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","2070","2540","2990","3390","3280","3580","4120","5120","6380","6780","6390","5720","5610","5630","6370","8220","10420","11100","12560","13130","14440","14600","15480","16920","18880","20660","21440","22650","24080","24020","24830","29890","37690","44530","47910","50530","50920","46810","44870","41990","40620","43550","46450","50260","52860","53050","61390","",
"Iran, Islamic Rep.","IRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","210","220","230","260","280","300","330","380","400","460","560","750","1090","1460","1990","2080","1980","2310","2100","2400","3190","3300","3110","3490","3690","3570","3030","2590","2550","","","","","1310","1580","1780","1800","1720","1760","1790","1880","2200","2520","2960","3480","4270","4950","5520","6200","6860","7140","7040","6550","5400","5520","5470","","",
"Iraq","IRQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","3930","3460","3050","2360","2540","2750","3050","3530","3720","3720","7050","","","","","","","","","","","","","","","","2040","2560","3630","4160","4580","4970","6310","7050","6840","5940","5630","4860","5040","",
"Iceland","ISL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1540","1740","2050","2440","2980","3110","2790","2490","2650","3080","3740","4960","6690","7490","7970","9010","10860","13180","15440","16240","15100","12580","11900","11930","14250","19100","23470","24210","24810","25260","26510","26100","25660","25490","27320","28090","29070","30400","31550","30710","30930","33720","42030","50700","53610","61930","50100","41850","36250","37590","40680","46960","48230","50150","55120","60740","67960","",
"Israel","ISR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1320","1330","1310","1440","1470","1480","1730","1910","2030","2290","2760","3170","4250","4860","4740","4610","4810","5610","6070","6720","6590","6600","6520","6500","7080","8480","10410","10920","12120","12870","14390","14760","15660","17010","18280","18870","18710","18400","19140","19220","18550","18630","19900","21410","22300","23950","26120","27260","29660","31500","32220","34310","35960","36030","36360","37420","40920","",
"Italy","ITA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","960","1060","1160","1280","1410","1550","1700","1850","2060","2250","2620","3250","3930","4320","4510","4730","5270","6740","8430","8710","8220","7630","7760","8030","9380","12160","15950","17300","18660","20370","22960","21590","20860","20670","21830","22300","22220","21990","21890","21170","20710","23350","28270","32430","34250","35900","37910","37870","37850","37900","36200","35550","34890","32980","31940","31340","33730","",
"Jamaica","JAM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","620","650","720","760","980","1020","1180","1370","1370","1450","1430","1300","1210","1290","1340","1330","1130","930","950","1170","1480","1690","1770","1740","1600","1830","1870","2280","2510","2750","2880","3110","3230","3230","3250","3430","3640","3780","4070","4310","4560","4320","4380","4590","4980","5010","4920","4710","4600","4740","4970","",
"Jordan","JOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","950","1200","1470","1830","1940","1910","1800","1800","1760","1930","2120","2120","1520","1270","1090","1280","1310","1360","1440","1450","1470","1500","1560","1700","1760","1800","1930","2180","2350","2530","2770","3120","3380","3480","3570","3690","3800","3870","3900","3930","4020","4200","",
"Japan","JPN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","610","690","800","890","1030","1200","1430","1660","1830","2120","2720","3640","4430","5150","5410","5950","7450","9450","10860","11120","10550","10270","10520","11480","13850","18180","24910","27000","27810","28590","30590","33430","36980","42110","43150","40040","34450","33780","36230","36770","34790","35070","38350","40560","39930","38740","38850","38800","43440","46880","49480","48280","43950","38840","37880","38470","41310","",
"Kazakhstan","KAZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430","1310","1280","1340","1390","1390","1290","1260","1350","1520","1800","2300","2950","3860","4980","6150","6780","7440","8280","9940","11840","12090","11420","8800","8040","8070","",
"Kenya","KEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","100","100","110","100","120","120","130","140","130","160","190","200","230","250","250","280","320","390","450","450","390","340","310","310","340","370","410","400","370","350","330","270","260","270","340","390","430","430","410","400","380","400","450","510","580","700","820","900","960","990","1050","1130","1240","1290","1360","1440","1620","",
"Kyrgyz Republic","KGZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520","450","370","360","390","390","360","300","280","280","290","340","400","450","500","610","760","860","850","880","1040","1190","1250","1180","1110","1110","1220","",
"Cambodia","KHM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","320","320","290","300","300","310","320","350","400","460","520","590","670","700","750","810","880","970","1020","1060","1140","1240","1390","",
"Kiribati","KIR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","870","860","690","660","790","780","590","540","520","550","640","670","720","960","1030","1020","1050","1150","1090","1340","1470","1300","1330","1340","1250","1310","1480","1700","1710","1820","1930","1900","2050","2090","2620","3030","3250","3460","3190","3070","3140","",
"St. Kitts and Nevis","KNA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1370","1670","1850","1940","2010","2240","2510","3070","3690","4390","4660","5220","5260","5710","6190","6710","7310","7690","8080","7830","8280","9250","9700","9780","9700","10840","12210","12930","13560","15510","15370","14880","15450","15470","16610","16490","16410","17080","17220","18340","",
"Korea, Rep.","KOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","120","120","130","130","140","150","190","240","280","310","340","430","550","650","800","960","1270","1670","1860","2020","2040","2150","2320","2450","2820","3480","4460","5310","6360","7440","8170","8860","9910","11600","13040","13230","10070","10160","10740","11620","12460","13350","15630","17790","19950","22420","22800","21040","21260","22540","24550","25760","26800","27250","27690","28380","30600","",
"Kuwait","KWT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20520","20870","21480","19680","16870","17980","18670","18930","22600","28100","34560","41480","47580","51710","45300","42160","43840","50650","53050","50750","42530","36880","31660","34290","",
"Latin America & Caribbean (excluding high income)","LAC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","464.828062768073","476.66739639776","513.203272330973","546.06495072253","578.808116309774","632.071586181049","698.066471393417","857.620943660689","1091.3870008492","1286.30807950598","1362.14429233975","1403.7847468039","1523.65378383302","1785.00928987173","2089.50882012954","2238.63645437951","2128.13406992739","1879.28762072155","1792.75953766209","1763.2634942622","1834.01704524129","1960.70331866471","2079.20458322917","2181.7538463247","2283.77172052983","2646.11454327878","2924.18964972454","3148.66984736468","3377.33877966453","3589.98408576719","3882.47471515112","4158.87657930821","4136.08696455557","3928.30182154646","4020.53633440256","3904.31277826265","3650.08358916779","3634.80891456973","3928.05427295641","4399.7664002847","5080.92552970212","5943.40104403024","6866.07947755418","7040.73882528601","7831.92010327063","8628.74028915837","9523.2611406719","9891.54955534993","9768.81092556532","8924.33370951513","8195.56287472268","8043.64050558618","8324.91032740868","",
"Lao PDR","LAO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","550","430","250","210","190","210","250","280","310","350","380","370","310","290","280","310","320","340","390","460","510","620","750","890","1000","1140","1370","1610","1820","1970","2120","2240","2450","",
"Lebanon","LBN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310","1700","1920","2220","2610","3160","3720","4000","4250","4490","4600","4460","4200","3790","4720","4880","4860","5420","6080","6880","7480","7580","7590","7610","7500","7290","7250","7500","7920","",
"Liberia","LBR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","180","210","250","290","330","390","430","460","520","560","630","630","630","620","620","610","",
